                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4817,                 4.1058,                 1.1795,                0.02462,                0.18571,                0.07861,                0.04972,                  1.405,                 3.9561,                 1.0127,             0.00013842,             0.00013842,             0.00013842
                      2,                 1.5347,                 2.3162,                 1.1371,                 0.9628,                 0.0631,                0.11403,                0.06466,                 1.4962,                 2.7748,                 1.0339,             0.00027045,             0.00027045,             0.00027045
                      3,                 1.4933,                 1.7427,                 1.1595,                0.95199,                0.07857,                0.12942,                0.08019,                 1.3729,                 2.2314,                 1.0105,             0.00038801,             0.00038801,             0.00038801
                      4,                 1.4016,                 1.6078,                  1.114,                0.91906,                0.10595,                0.13201,                0.08121,                 1.3716,                 1.8518,                 1.0371,              0.0004911,              0.0004911,              0.0004911
                      5,                 1.4076,                 1.5663,                 1.1167,                0.93864,                0.13095,                0.16047,                0.10623,                 1.2789,                 1.5345,                  1.034,             0.00057973,             0.00057973,             0.00057973
                      6,                 1.3451,                 1.4424,                  1.102,                0.93669,                0.14048,                0.17256,                 0.1072,                 1.3301,                 1.4909,                 1.0731,             0.00057867,             0.00057867,             0.00057867
                      7,                 1.3056,                 1.4126,                 1.0786,                0.74257,                0.14286,                0.17594,                0.11008,                 1.3097,                 1.3515,                 1.0726,             0.00054061,             0.00054061,             0.00054061
                      8,                 1.2999,                 1.3855,                 1.1114,                 0.7566,                0.15369,                0.18288,                 0.1154,                 1.3126,                 1.3289,                 1.0623,             0.00050254,             0.00050254,             0.00050254
                      9,                 1.3473,                 1.4118,                 1.1024,                0.74651,                 0.2119,                0.18918,                0.12039,                 1.2649,                 1.2904,                 1.0364,             0.00046448,             0.00046448,             0.00046448
                     10,                 1.3124,                 1.3413,                 1.0999,                0.74268,                0.21704,                0.19895,                0.12364,                 1.2482,                 1.2667,                 1.0357,             0.00042641,             0.00042641,             0.00042641
                     11,                 1.2058,                 1.6107,                 1.0464,                0.77993,                0.17976,                0.20128,                0.12942,                  1.255,                  1.296,                 1.0502,             0.00038835,             0.00038835,             0.00038835
                     12,                 1.2392,                 1.6243,                 1.0631,                0.79932,                0.19167,                0.21419,                0.13621,                 1.2748,                 1.3238,                 1.0594,             0.00035028,             0.00035028,             0.00035028
                     13,                 1.1848,                 1.4644,                 1.0491,                0.80662,                0.18452,                0.21899,                0.13991,                 1.2534,                 1.2733,                 1.0503,             0.00031221,             0.00031221,             0.00031221
                     14,                 1.1556,                 1.4264,                 1.0439,                0.83636,                0.18452,                0.22984,                0.14784,                 1.2299,                 1.2702,                 1.0452,             0.00027415,             0.00027415,             0.00027415
                     15,                 1.1459,                  1.407,                  1.022,                0.95252,                0.16648,                0.23954,                0.15566,                 1.2377,                 1.2599,                 1.0375,             0.00023608,             0.00023608,             0.00023608
                     16,                 1.1411,                 1.3849,                 1.0313,                 0.8199,                0.21667,                 0.2495,                0.15846,                 1.2474,                 1.2499,                 1.0355,             0.00019802,             0.00019802,             0.00019802
                     17,                 1.1225,                 1.3451,                 1.0183,                0.85276,                0.22997,                0.26643,                0.17261,                 1.2361,                 1.2239,                 1.0339,             0.00015995,             0.00015995,             0.00015995
                     18,                  1.116,                 1.3155,                 1.0163,                0.85005,                 0.2369,                 0.2747,                0.17986,                 1.2226,                 1.1968,                 1.0276,             0.00012189,             0.00012189,             0.00012189
                     19,                 1.0966,                 1.2805,                0.99476,                0.85177,                0.23734,                0.27779,                0.18056,                 1.2188,                 1.1834,                 1.0262,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     20,                 1.1216,                 1.2943,                0.99496,                0.84162,                0.24643,                0.27346,                0.17931,                 1.2115,                 1.1766,                 1.0203,             4.5756e-05,             4.5756e-05,             4.5756e-05
